,Location,Attribute,Value,Year,Week
811,Blackfoot / Pocatello,HRW,5.4,2018.0,21.0
812,Blackfoot / Pocatello,DNS,5.8,2018.0,21.0
813,Blackfoot / Pocatello,HWW,5.7,2018.0,21.0
814,Grace / Soda Springs,Barley_Feed,7.2,2018.0,21.0
815,Grace / Soda Springs,SWW,4.26,2018.0,21.0
816,Grace / Soda Springs,HRW,4.76,2018.0,21.0
817,Grace / Soda Springs,DNS,5.72,2018.0,21.0
818,Grace / Soda Springs,HWW,5.46,2018.0,21.0
819,Burley / Rupert,Barley_Feed,6.0,2018.0,21.0
820,Burley / Rupert,SWW,4.3,2018.0,21.0
821,Burley / Rupert,HRW,4.78,2018.0,21.0
822,Burley / Rupert,DNS,5.83,2018.0,21.0
823,Burley / Rupert,HWW,5.5,2018.0,21.0
824,"Twin Falls / Buhl /
Jerome / Wendell",Barley_Feed,6.0,2018.0,21.0
825,"Twin Falls / Buhl /
Jerome / Wendell",SWW,4.4,2018.0,21.0
826,"Twin Falls / Buhl /
Jerome / Wendell",HRW,4.85,2018.0,21.0
827,"Twin Falls / Buhl /
Jerome / Wendell",DNS,5.83,2018.0,21.0
828,"Twin Falls / Buhl /
Jerome / Wendell",HWW,5.5,2018.0,21.0
829,Nampa / Weiser,SWW,4.95,2018.0,21.0
830,Nezperce / Craigmont,Barley_Feed,5.96,2018.0,21.0
831,Nezperce / Craigmont,SWW,5.12,2018.0,21.0
832,Nezperce / Craigmont,HRW,5.91,2018.0,21.0
833,Nezperce / Craigmont,DNS,6.98,2018.0,21.0
834,Lewiston,Barley_Feed,6.48,2018.0,21.0
835,Lewiston,SWW,5.38,2018.0,21.0
836,Lewiston,HRW,6.17,2018.0,21.0
837,Lewiston,DNS,7.24,2018.0,21.0
838,Moscow / Genesee,Barley_Feed,5.95,2018.0,21.0
839,Moscow / Genesee,SWW,5.15,2018.0,21.0
840,Moscow / Genesee,HRW,5.94,2018.0,21.0
841,Moscow / Genesee,DNS,7.01,2018.0,21.0
842,Moscow / Genesee,HWW,6.15,2018.0,21.0
843,Rexburg / Ririe,Barley_Feed,7.0,2018.0,22.0
844,Rexburg / Ririe,SWW,4.27,2018.0,22.0
845,Rexburg / Ririe,HRW,5.54,2018.0,22.0
846,Rexburg / Ririe,DNS,5.8,2018.0,22.0
847,Rexburg / Ririe,HWW,5.7,2018.0,22.0
848,Idaho Falls,Barley_Feed,6.25,2018.0,22.0
849,Idaho Falls,Malting,8.3,2018.0,22.0
850,Idaho Falls,SWW,4.15,2018.0,22.0
851,Idaho Falls,HRW,5.3,2018.0,22.0
852,Idaho Falls,DNS,5.6,2018.0,22.0
853,Idaho Falls,HWW,5.6,2018.0,22.0
854,Blackfoot / Pocatello,Barley_Feed,6.25,2018.0,22.0
855,Blackfoot / Pocatello,Malting,6.5,2018.0,22.0
856,Blackfoot / Pocatello,SWW,4.15,2018.0,22.0
857,Blackfoot / Pocatello,HRW,5.3,2018.0,22.0
858,Blackfoot / Pocatello,DNS,5.6,2018.0,22.0
859,Blackfoot / Pocatello,HWW,5.6,2018.0,22.0
860,Grace / Soda Springs,Barley_Feed,7.2,2018.0,22.0
861,Grace / Soda Springs,SWW,4.25,2018.0,22.0
862,Grace / Soda Springs,HRW,4.73,2018.0,22.0
863,Grace / Soda Springs,DNS,5.52,2018.0,22.0
864,Grace / Soda Springs,HWW,5.48,2018.0,22.0
865,Burley / Rupert,Barley_Feed,6.0,2018.0,22.0
866,Burley / Rupert,SWW,4.37,2018.0,22.0
867,Burley / Rupert,HRW,4.65,2018.0,22.0
868,Burley / Rupert,DNS,5.51,2018.0,22.0
869,Burley / Rupert,HWW,5.4,2018.0,22.0
870,"Twin Falls / Buhl /
Jerome / Wendell",Barley_Feed,6.0,2018.0,22.0
871,"Twin Falls / Buhl /
Jerome / Wendell",SWW,4.35,2018.0,22.0
872,"Twin Falls / Buhl /
Jerome / Wendell",HRW,4.77,2018.0,22.0
873,"Twin Falls / Buhl /
Jerome / Wendell",DNS,5.55,2018.0,22.0
874,"Twin Falls / Buhl /
Jerome / Wendell",HWW,5.42,2018.0,22.0
875,Nampa / Weiser,SWW,4.9,2018.0,22.0
876,Nezperce / Craigmont,Barley_Feed,5.96,2018.0,22.0
877,Nezperce / Craigmont,SWW,5.1,2018.0,22.0
878,Nezperce / Craigmont,HRW,5.8,2018.0,22.0
879,Nezperce / Craigmont,DNS,6.66,2018.0,22.0
880,Lewiston,Barley_Feed,6.48,2018.0,22.0
881,Lewiston,SWW,5.36,2018.0,22.0
882,Lewiston,HRW,6.06,2018.0,22.0
883,Lewiston,DNS,6.92,2018.0,22.0
884,Moscow / Genesee,Barley_Feed,5.95,2018.0,22.0
885,Moscow / Genesee,SWW,5.13,2018.0,22.0
886,Moscow / Genesee,HRW,5.83,2018.0,22.0
887,Moscow / Genesee,DNS,6.69,2018.0,22.0
888,Moscow / Genesee,HWW,5.99,2018.0,22.0
889,Rexburg / Ririe,Barley_Feed,6.85,2018.0,23.0
890,Rexburg / Ririe,SWW,4.2,2018.0,23.0
891,Rexburg / Ririe,HRW,5.4,2018.0,23.0
892,Rexburg / Ririe,DNS,5.58,2018.0,23.0
893,Rexburg / Ririe,HWW,5.7,2018.0,23.0
894,Idaho Falls,Barley_Feed,6.25,2018.0,23.0
895,Idaho Falls,Malting,8.3,2018.0,23.0
896,Idaho Falls,SWW,4.1,2018.0,23.0
897,Idaho Falls,HRW,5.3,2018.0,23.0
898,Idaho Falls,DNS,5.35,2018.0,23.0
899,Idaho Falls,HWW,5.1,2018.0,23.0
900,Blackfoot / Pocatello,Barley_Feed,6.25,2018.0,23.0
901,Blackfoot / Pocatello,SWW,4.1,2018.0,23.0
902,Blackfoot / Pocatello,HRW,5.3,2018.0,23.0
903,Blackfoot / Pocatello,DNS,5.35,2018.0,23.0
904,Blackfoot / Pocatello,HWW,5.1,2018.0,23.0
905,Grace / Soda Springs,Barley_Feed,7.2,2018.0,23.0
906,Grace / Soda Springs,SWW,4.37,2018.0,23.0
907,Grace / Soda Springs,HRW,4.8,2018.0,23.0
908,Grace / Soda Springs,DNS,5.4,2018.0,23.0
909,Grace / Soda Springs,HWW,5.55,2018.0,23.0
910,"Twin Falls / Buhl /
Jerome / Wendell",Barley_Feed,6.0,2018.0,23.0
911,"Twin Falls / Buhl /
Jerome / Wendell",SWW,4.3,2018.0,23.0
912,"Twin Falls / Buhl /
Jerome / Wendell",HRW,4.75,2018.0,23.0
913,"Twin Falls / Buhl /
Jerome / Wendell",DNS,5.35,2018.0,23.0
914,"Twin Falls / Buhl /
Jerome / Wendell",HWW,5.4,2018.0,23.0
915,Nampa / Weiser,SWW,4.95,2018.0,23.0
916,Nezperce / Craigmont,Barley_Feed,5.96,2018.0,23.0
917,Nezperce / Craigmont,SWW,5.2,2018.0,23.0
918,Nezperce / Craigmont,HRW,5.79,2018.0,23.0
919,Nezperce / Craigmont,DNS,6.53,2018.0,23.0
920,Lewiston,Barley_Feed,6.48,2018.0,23.0
921,Lewiston,SWW,5.46,2018.0,23.0
922,Lewiston,HRW,6.05,2018.0,23.0
923,Lewiston,DNS,6.79,2018.0,23.0
924,Moscow / Genesee,Barley_Feed,5.95,2018.0,23.0
925,Moscow / Genesee,SWW,5.23,2018.0,23.0
926,Moscow / Genesee,HRW,5.82,2018.0,23.0
927,Moscow / Genesee,DNS,6.56,2018.0,23.0
928,Moscow / Genesee,HWW,5.98,2018.0,23.0
929,Rexburg / Ririe,Barley_Feed,6.5,2018.0,24.0
930,Rexburg / Ririe,SWW,4.05,2018.0,24.0
931,Rexburg / Ririe,HRW,5.25,2018.0,24.0
932,Rexburg / Ririe,DNS,5.47,2018.0,24.0
933,Rexburg / Ririe,HWW,5.6,2018.0,24.0
934,Idaho Falls,Barley_Feed,6.25,2018.0,24.0
935,Idaho Falls,Malting,8.3,2018.0,24.0
936,Idaho Falls,SWW,4.25,2018.0,24.0
937,Idaho Falls,HRW,5.05,2018.0,24.0
938,Idaho Falls,DNS,5.3,2018.0,24.0
939,Idaho Falls,HWW,5.3,2018.0,24.0
940,Blackfoot / Pocatello,Barley_Feed,6.25,2018.0,24.0
941,Blackfoot / Pocatello,Malting,6.5,2018.0,24.0
942,Blackfoot / Pocatello,SWW,4.25,2018.0,24.0
943,Blackfoot / Pocatello,HRW,5.05,2018.0,24.0
944,Blackfoot / Pocatello,DNS,5.3,2018.0,24.0
945,Blackfoot / Pocatello,HWW,5.3,2018.0,24.0
946,Grace / Soda Springs,Barley_Feed,7.2,2018.0,24.0
947,Grace / Soda Springs,SWW,4.26,2018.0,24.0
948,Grace / Soda Springs,HRW,4.74,2018.0,24.0
949,Grace / Soda Springs,DNS,5.21,2018.0,24.0
950,Grace / Soda Springs,HWW,5.48,2018.0,24.0
951,"Twin Falls / Buhl /
Jerome / Wendell",Barley_Feed,6.0,2018.0,24.0
952,"Twin Falls / Buhl /
Jerome / Wendell",SWW,4.3,2018.0,24.0
953,"Twin Falls / Buhl /
Jerome / Wendell",HRW,4.8,2018.0,24.0
954,"Twin Falls / Buhl /
Jerome / Wendell",DNS,5.3,2018.0,24.0
955,"Twin Falls / Buhl /
Jerome / Wendell",HWW,5.45,2018.0,24.0
956,Nampa / Weiser,SWW,4.95,2018.0,24.0
957,Nezperce / Craigmont,Barley_Feed,5.96,2018.0,24.0
958,Nezperce / Craigmont,SWW,5.25,2018.0,24.0
959,Nezperce / Craigmont,HRW,5.84,2018.0,24.0
960,Nezperce / Craigmont,DNS,6.4,2018.0,24.0
961,Lewiston,Barley_Feed,6.48,2018.0,24.0
962,Lewiston,SWW,5.51,2018.0,24.0
963,Lewiston,HRW,6.1,2018.0,24.0
964,Lewiston,DNS,6.66,2018.0,24.0
965,Moscow / Genesee,Barley_Feed,5.95,2018.0,24.0
966,Moscow / Genesee,SWW,5.28,2018.0,24.0
967,Moscow / Genesee,HRW,5.87,2018.0,24.0
968,Moscow / Genesee,DNS,6.43,2018.0,24.0
969,Moscow / Genesee,HWW,6.02,2018.0,24.0
970,Rexburg / Ririe,Barley_Feed,6.0,2018.0,25.0
971,Rexburg / Ririe,SWW,,2018.0,25.0
972,Rexburg / Ririe,HRW,4.6,2018.0,25.0
973,Rexburg / Ririe,DNS,5.23,2018.0,25.0
974,Rexburg / Ririe,HWW,4.9,2018.0,25.0
975,Idaho Falls,Barley_Feed,6.25,2018.0,25.0
976,Idaho Falls,Malting,8.33,2018.0,25.0
977,Idaho Falls,SWW,4.0,2018.0,25.0
978,Idaho Falls,HRW,4.55,2018.0,25.0
979,Idaho Falls,DNS,5.0,2018.0,25.0
980,Idaho Falls,HWW,4.81,2018.0,25.0
981,Blackfoot / Pocatello,Barley_Feed,6.25,2018.0,25.0
982,Blackfoot / Pocatello,Malting,6.5,2018.0,25.0
983,Blackfoot / Pocatello,SWW,4.0,2018.0,25.0
984,Blackfoot / Pocatello,HRW,4.55,2018.0,25.0
985,Blackfoot / Pocatello,DNS,5.0,2018.0,25.0
986,Blackfoot / Pocatello,HWW,4.81,2018.0,25.0
987,Grace / Soda Springs,Barley_Feed,7.2,2018.0,25.0
988,Grace / Soda Springs,SWW,3.94,2018.0,25.0
989,Grace / Soda Springs,HRW,4.18,2018.0,25.0
990,Grace / Soda Springs,DNS,4.9,2018.0,25.0
991,Grace / Soda Springs,HWW,4.93,2018.0,25.0
992,Nampa / Weiser,SWW,4.75,2018.0,25.0
993,Nezperce / Craigmont,Barley_Feed,5.96,2018.0,25.0
994,Nezperce / Craigmont,SWW,5.05,2018.0,25.0
995,Nezperce / Craigmont,HRW,5.23,2018.0,25.0
996,Nezperce / Craigmont,DNS,6.07,2018.0,25.0
997,Lewiston,Barley_Feed,6.48,2018.0,25.0
998,Lewiston,SWW,5.31,2018.0,25.0
999,Lewiston,HRW,5.49,2018.0,25.0
1000,Lewiston,DNS,6.33,2018.0,25.0
1001,Moscow / Genesee,Barley_Feed,5.95,2018.0,25.0
1002,Moscow / Genesee,SWW,5.08,2018.0,25.0
1003,Moscow / Genesee,HRW,5.26,2018.0,25.0
1004,Moscow / Genesee,DNS,6.1,2018.0,25.0
1005,Moscow / Genesee,HWW,6.02,2018.0,25.0
1006,Rexburg / Ririe,Barley_Feed,6.5,2018.0,26.0
1007,Rexburg / Ririe,SWW,3.85,2018.0,26.0
1008,Rexburg / Ririe,HRW,4.7,2018.0,26.0
1009,Rexburg / Ririe,DNS,5.05,2018.0,26.0
1010,Rexburg / Ririe,HWW,4.9,2018.0,26.0
1011,Idaho Falls,Barley_Feed,6.25,2018.0,26.0
1012,Idaho Falls,Malting,8.33,2018.0,26.0
1013,Idaho Falls,SWW,4.0,2018.0,26.0
1014,Idaho Falls,HRW,4.3,2018.0,26.0
1015,Idaho Falls,DNS,4.7,2018.0,26.0
1016,Idaho Falls,HWW,4.5,2018.0,26.0
1017,Blackfoot / Pocatello,Barley_Feed,6.25,2018.0,26.0
1018,Blackfoot / Pocatello,Malting,6.5,2018.0,26.0
1019,Blackfoot / Pocatello,SWW,4.0,2018.0,26.0
1020,Blackfoot / Pocatello,HRW,4.3,2018.0,26.0
1021,Blackfoot / Pocatello,DNS,4.7,2018.0,26.0
1022,Blackfoot / Pocatello,HWW,4.5,2018.0,26.0
1023,Grace / Soda Springs,Barley_Feed,6.0,2018.0,26.0
1024,Grace / Soda Springs,SWW,4.03,2018.0,26.0
1025,Grace / Soda Springs,HRW,4.31,2018.0,26.0
1026,Grace / Soda Springs,DNS,4.87,2018.0,26.0
1027,Grace / Soda Springs,HWW,4.76,2018.0,26.0
1028,Nampa / Weiser,SWW,4.75,2018.0,26.0
1029,Nezperce / Craigmont,Barley_Feed,5.71,2018.0,26.0
1030,Nezperce / Craigmont,SWW,5.1,2018.0,26.0
1031,Nezperce / Craigmont,HRW,4.93,2018.0,26.0
1032,Nezperce / Craigmont,DNS,5.71,2018.0,26.0
1033,Lewiston,Barley_Feed,6.23,2018.0,26.0
1034,Lewiston,SWW,5.36,2018.0,26.0
1035,Lewiston,HRW,5.19,2018.0,26.0
1036,Lewiston,DNS,5.97,2018.0,26.0
1037,Moscow / Genesee,Barley_Feed,5.74,2018.0,26.0
1038,Moscow / Genesee,SWW,5.13,2018.0,26.0
1039,Moscow / Genesee,HRW,4.96,2018.0,26.0
1040,Moscow / Genesee,DNS,5.74,2018.0,26.0
1041,Moscow / Genesee,HWW,5.43,2018.0,26.0
1042,Rexburg / Ririe,Barley_Feed,6.0,2018.0,28.0
1043,Rexburg / Ririe,SWW,4.07,2018.0,28.0
1044,Rexburg / Ririe,HRW,4.74,2018.0,28.0
1045,Rexburg / Ririe,DNS,4.9,2018.0,28.0
1046,Rexburg / Ririe,HWW,4.99,2018.0,28.0
1047,Idaho Falls,Malting,8.3,2018.0,28.0
1048,Idaho Falls,SWW,4.0,2018.0,28.0
1049,Idaho Falls,HRW,4.3,2018.0,28.0
1050,Idaho Falls,DNS,4.6,2018.0,28.0
1051,Idaho Falls,HWW,4.5,2018.0,28.0
1052,Blackfoot / Pocatello,Malting,6.5,2018.0,28.0
1053,Blackfoot / Pocatello,SWW,4.0,2018.0,28.0
1054,Blackfoot / Pocatello,HRW,4.3,2018.0,28.0
1055,Blackfoot / Pocatello,DNS,4.6,2018.0,28.0
1056,Blackfoot / Pocatello,HWW,4.5,2018.0,28.0
1057,Grace / Soda Springs,Barley_Feed,7.2,2018.0,28.0
1058,Grace / Soda Springs,SWW,4.04,2018.0,28.0
1059,Grace / Soda Springs,HRW,4.34,2018.0,28.0
1060,Grace / Soda Springs,DNS,4.9,2018.0,28.0
1061,Grace / Soda Springs,HWW,4.79,2018.0,28.0
1062,Nampa / Weiser,SWW,4.75,2018.0,28.0
1063,Nezperce / Craigmont,Barley_Feed,5.71,2018.0,28.0
1064,Nezperce / Craigmont,SWW,4.95,2018.0,28.0
1065,Nezperce / Craigmont,HRW,5.18,2018.0,28.0
1066,Nezperce / Craigmont,DNS,5.53,2018.0,28.0
1067,Lewiston,Barley_Feed,6.23,2018.0,28.0
1068,Lewiston,SWW,5.21,2018.0,28.0
1069,Lewiston,HRW,5.44,2018.0,28.0
1070,Lewiston,DNS,5.84,2018.0,28.0
1071,Moscow / Genesee,Barley_Feed,5.74,2018.0,28.0
1072,Moscow / Genesee,SWW,4.98,2018.0,28.0
1073,Moscow / Genesee,HRW,5.21,2018.0,28.0
1074,Moscow / Genesee,DNS,5.56,2018.0,28.0
1075,Moscow / Genesee,HWW,5.36,2018.0,28.0
1076,Rexburg / Ririe,Barley_Feed,6.0,2018.0,29.0
1077,Rexburg / Ririe,SWW,4.2,2018.0,29.0
1078,Rexburg / Ririe,HRW,4.91,2018.0,29.0
1079,Rexburg / Ririe,DNS,5.0,2018.0,29.0
1080,Rexburg / Ririe,HWW,5.11,2018.0,29.0
1081,Idaho Falls,Malting,8.3,2018.0,29.0
1082,Idaho Falls,SWW,4.3,2018.0,29.0
1083,Idaho Falls,HRW,4.6,2018.0,29.0
1084,Idaho Falls,DNS,4.75,2018.0,29.0
1085,Idaho Falls,HWW,5.0,2018.0,29.0
1086,Blackfoot / Pocatello,Malting,6.5,2018.0,29.0
1087,Blackfoot / Pocatello,SWW,4.3,2018.0,29.0
1088,Blackfoot / Pocatello,HRW,4.6,2018.0,29.0
1089,Blackfoot / Pocatello,DNS,4.75,2018.0,29.0
1090,Blackfoot / Pocatello,HWW,5.0,2018.0,29.0
1091,Grace / Soda Springs,Barley_Feed,7.2,2018.0,29.0
1092,Grace / Soda Springs,SWW,4.3,2018.0,29.0
1093,Grace / Soda Springs,HRW,4.4,2018.0,29.0
1094,Grace / Soda Springs,DNS,4.92,2018.0,29.0
1095,Grace / Soda Springs,HWW,4.95,2018.0,29.0
1096,Nampa / Weiser,SWW,4.85,2018.0,29.0
1097,Nezperce / Craigmont,Barley_Feed,5.71,2018.0,29.0
1098,Nezperce / Craigmont,SWW,5.05,2018.0,29.0
1099,Nezperce / Craigmont,HRW,5.27,2018.0,29.0
1100,Nezperce / Craigmont,DNS,5.43,2018.0,29.0
1101,Lewiston,Barley_Feed,6.23,2018.0,29.0
1102,Lewiston,SWW,5.31,2018.0,29.0
1103,Lewiston,HRW,5.53,2018.0,29.0
1104,Lewiston,DNS,5.69,2018.0,29.0
1105,Moscow / Genesee,Barley_Feed,5.74,2018.0,29.0
1106,Moscow / Genesee,SWW,5.08,2018.0,29.0
1107,Moscow / Genesee,HRW,5.3,2018.0,29.0
1108,Moscow / Genesee,DNS,5.46,2018.0,29.0
1109,Moscow / Genesee,HWW,5.46,2018.0,29.0
1110,Rexburg / Ririe,Barley_Feed,5.75,2018.0,31.0
1111,Rexburg / Ririe,SWW,4.7,2018.0,31.0
1112,Rexburg / Ririe,HRW,5.3,2018.0,31.0
1113,Rexburg / Ririe,DNS,5.6,2018.0,31.0
1114,Rexburg / Ririe,HWW,5.5,2018.0,31.0
1115,Idaho Falls,SWW,4.7,2018.0,31.0
1116,Idaho Falls,HRW,5.4,2018.0,31.0
1117,Idaho Falls,DNS,5.5,2018.0,31.0
1118,Idaho Falls,HWW,5.6,2018.0,31.0
1119,Blackfoot / Pocatello,Malting,7.0,2018.0,31.0
1120,Blackfoot / Pocatello,SWW,4.7,2018.0,31.0
1121,Blackfoot / Pocatello,HRW,5.4,2018.0,31.0
1122,Blackfoot / Pocatello,DNS,5.5,2018.0,31.0
1123,Blackfoot / Pocatello,HWW,5.6,2018.0,31.0
1124,Grace / Soda Springs,Barley_Feed,6.5,2018.0,31.0
1125,Grace / Soda Springs,SWW,4.89,2018.0,31.0
1126,Grace / Soda Springs,HRW,5.17,2018.0,31.0
1127,Grace / Soda Springs,DNS,5.72,2018.0,31.0
1128,Grace / Soda Springs,HWW,5.72,2018.0,31.0
1129,Nampa / Weiser,SWW,4.95,2018.0,31.0
1130,Nezperce / Craigmont,Barley_Feed,5.21,2018.0,31.0
1131,Nezperce / Craigmont,SWW,5.15,2018.0,31.0
1132,Nezperce / Craigmont,HRW,6.0,2018.0,31.0
1133,Nezperce / Craigmont,DNS,6.21,2018.0,31.0
1134,Lewiston,Barley_Feed,5.75,2018.0,31.0
1135,Lewiston,SWW,5.41,2018.0,31.0
1136,Lewiston,HRW,6.26,2018.0,31.0
1137,Lewiston,DNS,6.47,2018.0,31.0
1138,Moscow / Genesee,Barley_Feed,5.24,2018.0,31.0
1139,Moscow / Genesee,SWW,5.18,2018.0,31.0
1140,Moscow / Genesee,HRW,6.03,2018.0,31.0
1141,Moscow / Genesee,DNS,6.24,2018.0,31.0
1142,Moscow / Genesee,HWW,6.18,2018.0,31.0
1143,Rexburg / Ririe,Barley_Feed,5.8,2018.0,32.0
1144,Rexburg / Ririe,SWW,4.82,2018.0,32.0
1145,Rexburg / Ririe,HRW,5.44,2018.0,32.0
1146,Rexburg / Ririe,DNS,5.83,2018.0,32.0
1147,Rexburg / Ririe,HWW,5.7,2018.0,32.0
1148,Idaho Falls,Malting,8.3,2018.0,32.0
1149,Idaho Falls,SWW,4.7,2018.0,32.0
1150,Idaho Falls,HRW,5.4,2018.0,32.0
1151,Idaho Falls,DNS,5.75,2018.0,32.0
1152,Idaho Falls,HWW,5.7,2018.0,32.0
1153,Blackfoot / Pocatello,Malting,7.06,2018.0,32.0
1154,Blackfoot / Pocatello,SWW,4.7,2018.0,32.0
1155,Blackfoot / Pocatello,HRW,5.4,2018.0,32.0
1156,Blackfoot / Pocatello,DNS,5.75,2018.0,32.0
1157,Blackfoot / Pocatello,HWW,5.7,2018.0,32.0
1158,Grace / Soda Springs,Barley_Feed,6.5,2018.0,32.0
1159,Grace / Soda Springs,SWW,4.82,2018.0,32.0
1160,Grace / Soda Springs,HRW,5.36,2018.0,32.0
1161,Grace / Soda Springs,DNS,5.93,2018.0,32.0
1162,Grace / Soda Springs,HWW,5.91,2018.0,32.0
1163,Nampa / Weiser,SWW,5.1,2018.0,32.0
1164,Nezperce / Craigmont,Barley_Feed,5.21,2018.0,32.0
1165,Nezperce / Craigmont,SWW,5.3,2018.0,32.0
1166,Nezperce / Craigmont,HRW,6.1,2018.0,32.0
1167,Nezperce / Craigmont,DNS,6.33,2018.0,32.0
1168,Lewiston,Barley_Feed,5.75,2018.0,32.0
1169,Lewiston,SWW,5.56,2018.0,32.0
1170,Lewiston,HRW,6.36,2018.0,32.0
1171,Lewiston,DNS,6.54,2018.0,32.0
1172,Moscow / Genesee,Barley_Feed,5.24,2018.0,32.0
1173,Moscow / Genesee,SWW,5.33,2018.0,32.0
1174,Moscow / Genesee,HRW,6.13,2018.0,32.0
1175,Moscow / Genesee,DNS,6.36,2018.0,32.0
1176,Moscow / Genesee,HWW,6.28,2018.0,32.0
1177,Rexburg / Ririe,Barley_Feed,6.0,2018.0,33.0
1178,Rexburg / Ririe,SWW,4.5,2018.0,33.0
1179,Rexburg / Ririe,HRW,5.0,2018.0,33.0
1180,Rexburg / Ririe,DNS,5.45,2018.0,33.0
1181,Rexburg / Ririe,HWW,5.35,2018.0,33.0
1182,Idaho Falls,Malting,8.3,2018.0,33.0
1183,Idaho Falls,SWW,4.3,2018.0,33.0
1184,Idaho Falls,HRW,4.9,2018.0,33.0
1185,Idaho Falls,DNS,5.25,2018.0,33.0
1186,Idaho Falls,HWW,5.2,2018.0,33.0
1187,Blackfoot / Pocatello,Malting,7.06,2018.0,33.0
1188,Blackfoot / Pocatello,SWW,4.3,2018.0,33.0
1189,Blackfoot / Pocatello,HRW,4.9,2018.0,33.0
1190,Blackfoot / Pocatello,DNS,5.25,2018.0,33.0
1191,Blackfoot / Pocatello,HWW,5.2,2018.0,33.0
1192,Grace / Soda Springs,Barley_Feed,6.5,2018.0,33.0
1193,Grace / Soda Springs,SWW,4.45,2018.0,33.0
1194,Grace / Soda Springs,HRW,4.9,2018.0,33.0
1195,Grace / Soda Springs,DNS,5.51,2018.0,33.0
1196,Grace / Soda Springs,HWW,5.45,2018.0,33.0
1197,Nampa / Weiser,SWW,5.05,2018.0,33.0
1198,Nezperce / Craigmont,Barley_Feed,5.46,2018.0,33.0
1199,Nezperce / Craigmont,SWW,5.25,2018.0,33.0
1200,Nezperce / Craigmont,HRW,5.68,2018.0,33.0
1201,Nezperce / Craigmont,DNS,5.95,2018.0,33.0
1202,Lewiston,Barley_Feed,5.98,2018.0,33.0
1203,Lewiston,SWW,5.51,2018.0,33.0
1204,Lewiston,HRW,5.94,2018.0,33.0
1205,Lewiston,DNS,6.21,2018.0,33.0
1206,Moscow / Genesee,Barley_Feed,5.43,2018.0,33.0
1207,Moscow / Genesee,SWW,5.28,2018.0,33.0
1208,Moscow / Genesee,HRW,5.71,2018.0,33.0
1209,Moscow / Genesee,DNS,5.98,2018.0,33.0
1210,Moscow / Genesee,HWW,5.75,2018.0,33.0
1211,Rexburg / Ririe,Barley_Feed,5.15,2017.0,1.0
1212,Rexburg / Ririe,SWW,3.5,2017.0,1.0
1213,Rexburg / Ririe,HRW,3.7,2017.0,1.0
1214,Rexburg / Ririe,DNS,5.02,2017.0,1.0
1215,Rexburg / Ririe,HWW,3.9,2017.0,1.0
1216,Idaho Falls,Barley_Feed,5.0,2017.0,1.0
1217,Idaho Falls,Malting,8.3,2017.0,1.0
1218,Idaho Falls,SWW,3.45,2017.0,1.0
1219,Idaho Falls,HRW,3.8,2017.0,1.0
1220,Idaho Falls,DNS,5.05,2017.0,1.0
1221,Idaho Falls,HWW,3.9,2017.0,1.0
1222,Blackfoot / Pocatello,Malting,6.5,2017.0,1.0
1223,Blackfoot / Pocatello,SWW,3.45,2017.0,1.0
1224,Blackfoot / Pocatello,HRW,3.8,2017.0,1.0
1225,Blackfoot / Pocatello,DNS,5.05,2017.0,1.0
1226,Blackfoot / Pocatello,HWW,3.9,2017.0,1.0
1227,Grace / Soda Springs,Barley_Feed,5.5,2017.0,1.0
1228,Grace / Soda Springs,SWW,3.49,2017.0,1.0
1229,Grace / Soda Springs,HRW,3.59,2017.0,1.0
1230,Grace / Soda Springs,DNS,5.11,2017.0,1.0
1231,Grace / Soda Springs,HWW,3.79,2017.0,1.0
1232,Burley / Rupert,Barley_Feed,5.0,2017.0,1.0
1233,Burley / Rupert,SWW,3.45,2017.0,1.0
1234,Burley / Rupert,HRW,3.45,2017.0,1.0
1235,Burley / Rupert,DNS,5.11,2017.0,1.0
1236,Burley / Rupert,HWW,3.85,2017.0,1.0
1237,Nezperce / Craigmont,Barley_Feed,3.75,2017.0,1.0
1238,Nezperce / Craigmont,SWW,3.61,2017.0,1.0
1239,Nezperce / Craigmont,HRW,4.22,2017.0,1.0
1240,Nezperce / Craigmont,DNS,5.69,2017.0,1.0
1241,Lewiston,Barley_Feed,4.25,2017.0,1.0
1242,Lewiston,SWW,3.87,2017.0,1.0
1243,Lewiston,HRW,4.48,2017.0,1.0
1244,Lewiston,DNS,5.95,2017.0,1.0
1245,Moscow / Genesee,Barley_Feed,3.75,2017.0,1.0
1246,Moscow / Genesee,SWW,3.64,2017.0,1.0
1247,Moscow / Genesee,HRW,4.25,2017.0,1.0
1248,Moscow / Genesee,DNS,5.72,2017.0,1.0
1249,Moscow / Genesee,HWW,4.39,2017.0,1.0
1250,Rexburg / Ririe,Barley_Feed,5.0,2017.0,2.0
1251,Rexburg / Ririe,SWW,3.85,2017.0,2.0
1252,Rexburg / Ririe,HRW,5.25,2017.0,2.0
1253,Rexburg / Ririe,DNS,4.05,2017.0,2.0
1254,Idaho Falls,Barley_Feed,5.0,2017.0,2.0
1255,Idaho Falls,Malting,8.3,2017.0,2.0
1256,Idaho Falls,SWW,3.95,2017.0,2.0
1257,Idaho Falls,HRW,5.25,2017.0,2.0
1258,Idaho Falls,HWW,4.05,2017.0,2.0
1259,Blackfoot / Pocatello,Malting,6.5,2017.0,2.0
1260,Blackfoot / Pocatello,SWW,3.95,2017.0,2.0
